InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
568346,21070,VINTAGE BILLBOARD MUG ,1,9/26/2011 15:28,2.46,14096.0,United Kingdom
568346,21078,SET/20 STRAWBERRY PAPER NAPKINS ,1,9/26/2011 15:28,1.63,14096.0,United Kingdom
568346,21090,SET/6 COLLAGE PAPER PLATES,8,9/26/2011 15:28,0.83,14096.0,United Kingdom
568346,21094,SET/6 RED SPOTTY PAPER PLATES,1,9/26/2011 15:28,0.83,14096.0,United Kingdom
568346,21098,CHRISTMAS TOILET ROLL,3,9/26/2011 15:28,2.46,14096.0,United Kingdom
568346,21125,SET 6 FOOTBALL CELEBRATION CANDLES,1,9/26/2011 15:28,1.25,14096.0,United Kingdom
568346,21129,SILVER FISHING GNOME ,1,9/26/2011 15:28,12.46,14096.0,United Kingdom
568346,21136,PAINTED METAL PEARS ASSORTED,8,9/26/2011 15:28,3.12,14096.0,United Kingdom
568346,21147,JINGLE BELLS TREE DECORATION,6,9/26/2011 15:28,2.46,14096.0,United Kingdom
568346,21154,RED RETROSPOT OVEN GLOVE ,1,9/26/2011 15:28,2.46,14096.0,United Kingdom
568346,21155,RED RETROSPOT PEG BAG,1,9/26/2011 15:28,4.96,14096.0,United Kingdom
568346,21156,RETROSPOT CHILDRENS APRON,2,9/26/2011 15:28,4.13,14096.0,United Kingdom
568346,21172,PARTY METAL SIGN ,1,9/26/2011 15:28,4.13,14096.0,United Kingdom
568346,21212,PACK OF 72 RETROSPOT CAKE CASES,3,9/26/2011 15:28,1.25,14096.0,United Kingdom
568346,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1,9/26/2011 15:28,10.79,14096.0,United Kingdom
568346,21231,SWEETHEART CERAMIC TRINKET BOX,1,9/26/2011 15:28,2.46,14096.0,United Kingdom
568346,21232,STRAWBERRY CERAMIC TRINKET BOX,2,9/26/2011 15:28,2.46,14096.0,United Kingdom
568346,21313,GLASS HEART T-LIGHT HOLDER ,1,9/26/2011 15:28,1.63,14096.0,United Kingdom
568346,21356,TOAST ITS - FAIRY FLOWER,3,9/26/2011 15:28,0.83,14096.0,United Kingdom
568346,21422,PORCELAIN ROSE SMALL,1,9/26/2011 15:28,1.63,14096.0,United Kingdom
568346,21466,RED FLOWER CROCHET FOOD COVER,1,9/26/2011 15:28,7.46,14096.0,United Kingdom
568346,21467,CHERRY CROCHET FOOD COVER,1,9/26/2011 15:28,7.46,14096.0,United Kingdom
568346,21469,POLKA DOT RAFFIA FOOD COVER,1,9/26/2011 15:28,7.46,14096.0,United Kingdom
568346,21494,ROTATING LEAVES T-LIGHT HOLDER,7,9/26/2011 15:28,2.46,14096.0,United Kingdom
568346,21507,ELEPHANT BIRTHDAY CARD ,2,9/26/2011 15:28,0.83,14096.0,United Kingdom
