InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
560601,22138,BAKING SET 9 PIECE RETROSPOT ,1,7/19/2011 17:17,4.95,16764.0,United Kingdom
560601,22617,BAKING SET SPACEBOY DESIGN,1,7/19/2011 17:17,4.95,16764.0,United Kingdom
560601,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,1,7/19/2011 17:17,1.25,16764.0,United Kingdom
560601,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,1,7/19/2011 17:17,1.25,16764.0,United Kingdom
560601,22512,DOORSTOP RACING CAR DESIGN,1,7/19/2011 17:17,3.75,16764.0,United Kingdom
560602,21754,HOME BUILDING BLOCK WORD,3,7/20/2011 8:48,5.95,13629.0,United Kingdom
560602,22120,WELCOME  WOODEN BLOCK LETTERS,3,7/20/2011 8:48,9.95,13629.0,United Kingdom
560602,21755,LOVE BUILDING BLOCK WORD,3,7/20/2011 8:48,5.95,13629.0,United Kingdom
560602,23123,COCKTAIL SWORDS 50 PIECES,12,7/20/2011 8:48,0.83,13629.0,United Kingdom
560602,23121,PACK OF 6 COCKTAIL PARASOL STRAWS,24,7/20/2011 8:48,0.42,13629.0,United Kingdom
560602,23119,PACK OF 6 LARGE FRUIT STRAWS ,12,7/20/2011 8:48,0.62,13629.0,United Kingdom
560602,23076,ICE CREAM SUNDAE LIP GLOSS,24,7/20/2011 8:48,1.25,13629.0,United Kingdom
560602,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,7/20/2011 8:48,1.65,13629.0,United Kingdom
560602,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,7/20/2011 8:48,2.1,13629.0,United Kingdom
560602,22748,POPPY'S PLAYHOUSE KITCHEN,6,7/20/2011 8:48,2.1,13629.0,United Kingdom
560602,22745,POPPY'S PLAYHOUSE BEDROOM ,6,7/20/2011 8:48,2.1,13629.0,United Kingdom
560602,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,7/20/2011 8:48,1.65,13629.0,United Kingdom
560602,21982,PACK OF 12 SUKI TISSUES ,24,7/20/2011 8:48,0.29,13629.0,United Kingdom
560602,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,7/20/2011 8:48,0.29,13629.0,United Kingdom
560602,84991,60 TEATIME FAIRY CAKE CASES,24,7/20/2011 8:48,0.55,13629.0,United Kingdom
560602,22430,ENAMEL WATERING CAN CREAM,4,7/20/2011 8:48,4.95,13629.0,United Kingdom
560602,22427,ENAMEL FLOWER JUG CREAM,6,7/20/2011 8:48,5.95,13629.0,United Kingdom
560602,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,7/20/2011 8:48,0.83,13629.0,United Kingdom
560602,22485,SET OF 2 WOODEN MARKET CRATES,2,7/20/2011 8:48,12.75,13629.0,United Kingdom
560602,21756,BATH BUILDING BLOCK WORD,3,7/20/2011 8:48,5.95,13629.0,United Kingdom
560603,22457,NATURAL SLATE HEART CHALKBOARD ,6,7/20/2011 8:59,2.95,18180.0,United Kingdom
560603,85111,SILVER GLITTER FLOWER VOTIVE HOLDER,36,7/20/2011 8:59,0.29,18180.0,United Kingdom
560603,23086,ZINC  STAR T-LIGHT HOLDER ,16,7/20/2011 8:59,1.25,18180.0,United Kingdom
560603,23088,ZINC HEART FLOWER T-LIGHT HOLDER,16,7/20/2011 8:59,1.25,18180.0,United Kingdom
560603,21479,WHITE SKULL HOT WATER BOTTLE ,4,7/20/2011 8:59,3.75,18180.0,United Kingdom
560603,21481,FAWN BLUE HOT WATER BOTTLE,6,7/20/2011 8:59,2.95,18180.0,United Kingdom
560603,22111,SCOTTIE DOG HOT WATER BOTTLE,3,7/20/2011 8:59,4.95,18180.0,United Kingdom
560603,84030E,ENGLISH ROSE HOT WATER BOTTLE,5,7/20/2011 8:59,4.25,18180.0,United Kingdom
560603,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,7/20/2011 8:59,3.75,18180.0,United Kingdom
560603,21407,BROWN CHECK CAT DOORSTOP ,3,7/20/2011 8:59,4.25,18180.0,United Kingdom
560603,21116,OWL DOORSTOP,3,7/20/2011 8:59,4.95,18180.0,United Kingdom
560603,22508,DOORSTOP RETROSPOT HEART,4,7/20/2011 8:59,3.75,18180.0,United Kingdom
560603,21411,GINGHAM HEART  DOORSTOP RED,3,7/20/2011 8:59,4.25,18180.0,United Kingdom
560603,22197,POPCORN HOLDER,12,7/20/2011 8:59,0.85,18180.0,United Kingdom
560603,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,7/20/2011 8:59,1.25,18180.0,United Kingdom
560603,23144,ZINC T-LIGHT HOLDER STARS SMALL,12,7/20/2011 8:59,0.83,18180.0,United Kingdom
560603,22637,PIGGY BANK RETROSPOT ,4,7/20/2011 8:59,2.55,18180.0,United Kingdom
560603,21556,CERAMIC STRAWBERRY MONEY BOX,6,7/20/2011 8:59,2.55,18180.0,United Kingdom
560603,20665,RED RETROSPOT PURSE ,6,7/20/2011 8:59,2.95,18180.0,United Kingdom
560604,23209,LUNCH BAG DOILEY PATTERN ,100,7/20/2011 9:23,1.45,15251.0,United Kingdom
560604,22993,SET OF 4 PANTRY JELLY MOULDS,72,7/20/2011 9:23,1.06,15251.0,United Kingdom
560604,22699,ROSES REGENCY TEACUP AND SAUCER ,24,7/20/2011 9:23,2.55,15251.0,United Kingdom
560604,22457,NATURAL SLATE HEART CHALKBOARD ,48,7/20/2011 9:23,2.55,15251.0,United Kingdom
560604,22848,BREAD BIN DINER STYLE PINK,4,7/20/2011 9:23,14.95,15251.0,United Kingdom
560605,22970,LONDON BUS COFFEE MUG,36,7/20/2011 9:30,2.1,17306.0,United Kingdom
560605,22988,SOLDIERS EGG CUP ,144,7/20/2011 9:30,1.06,17306.0,United Kingdom
560605,22900,SET 2 TEA TOWELS I LOVE LONDON ,100,7/20/2011 9:30,2.75,17306.0,United Kingdom
560605,22616,PACK OF 12 LONDON TISSUES ,432,7/20/2011 9:30,0.25,17306.0,United Kingdom
560606,85211,S/4 GROOVY CAT MAGNETS,12,7/20/2011 10:08,0.79,17422.0,United Kingdom
560606,22077,6 RIBBONS RUSTIC CHARM,12,7/20/2011 10:08,1.65,17422.0,United Kingdom
560606,21279,VINTAGE KITCHEN PRINT FRUITS,6,7/20/2011 10:08,2.55,17422.0,United Kingdom
560606,21382,SET/4 SPRING FLOWER DECORATION,24,7/20/2011 10:08,0.75,17422.0,United Kingdom
560606,21634,ASSORTED MINI MADRAS NOTEBOOK,24,7/20/2011 10:08,0.39,17422.0,United Kingdom
560606,21992,VINTAGE PAISLEY STATIONERY SET,12,7/20/2011 10:08,1.25,17422.0,United Kingdom
560606,21993,FLORAL FOLK STATIONERY SET,12,7/20/2011 10:08,1.25,17422.0,United Kingdom
560606,22230,JIGSAW TREE WITH WATERING CAN,48,7/20/2011 10:08,0.29,17422.0,United Kingdom
560606,22233,JIGSAW RABBIT AND BIRDHOUSE,12,7/20/2011 10:08,0.59,17422.0,United Kingdom
560606,22231,JIGSAW TREE WITH BIRDHOUSE,12,7/20/2011 10:08,0.59,17422.0,United Kingdom
560606,22232,JIGSAW TOADSTOOLS 3 PIECE,16,7/20/2011 10:08,0.59,17422.0,United Kingdom
560606,22286,DECORATION WOBBLY RABBIT METAL ,24,7/20/2011 10:08,0.39,17422.0,United Kingdom
560606,84576,BLUE CAT BISCUIT BARREL PINK HEART,7,7/20/2011 10:08,1.95,17422.0,United Kingdom
560606,22249,DECORATION WHITE CHICK MAGIC GARDEN,16,7/20/2011 10:08,0.85,17422.0,United Kingdom
560606,22251,BIRDHOUSE DECORATION MAGIC GARDEN,12,7/20/2011 10:08,1.25,17422.0,United Kingdom
560606,22293,HANGING CHICK GREEN DECORATION,24,7/20/2011 10:08,1.45,17422.0,United Kingdom
560606,22291,HANGING CHICK CREAM DECORATION,24,7/20/2011 10:08,1.45,17422.0,United Kingdom
560606,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,7/20/2011 10:08,1.25,17422.0,United Kingdom
560606,23196,VINTAGE LEAF MAGNETIC NOTEPAD,12,7/20/2011 10:08,1.45,17422.0,United Kingdom
560607,21137,BLACK RECORD COVER FRAME,48,7/20/2011 10:15,3.39,12510.0,Spain
560607,79321,CHILLI LIGHTS,4,7/20/2011 10:15,5.75,12510.0,Spain
560607,20750,RED RETROSPOT MINI CASES,4,7/20/2011 10:15,7.95,12510.0,Spain
560607,POST,POSTAGE,3,7/20/2011 10:15,28.0,12510.0,Spain
C560608,15056P,EDWARDIAN PARASOL PINK,-1,7/20/2011 10:35,5.95,16271.0,United Kingdom
560634,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,7/20/2011 10:51,0.12,16133.0,United Kingdom
560634,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,7/20/2011 10:51,0.19,16133.0,United Kingdom
560634,23021,GLASS BONNE JAM JAR,4,7/20/2011 10:51,4.15,16133.0,United Kingdom
560634,23144,ZINC T-LIGHT HOLDER STARS SMALL,144,7/20/2011 10:51,0.72,16133.0,United Kingdom
560634,85053,FRENCH ENAMEL CANDLEHOLDER,48,7/20/2011 10:51,1.69,16133.0,United Kingdom
560634,22426,ENAMEL WASH BOWL CREAM,4,7/20/2011 10:51,3.75,16133.0,United Kingdom
560634,22429,ENAMEL MEASURING JUG CREAM,4,7/20/2011 10:51,4.25,16133.0,United Kingdom
560634,23251,VINTAGE RED ENAMEL TRIM MUG ,12,7/20/2011 10:51,1.25,16133.0,United Kingdom
560634,23250,VINTAGE RED TRIM ENAMEL BOWL ,12,7/20/2011 10:51,1.25,16133.0,United Kingdom
560634,23249,VINTAGE RED ENAMEL TRIM PLATE,12,7/20/2011 10:51,1.65,16133.0,United Kingdom
560634,22699,ROSES REGENCY TEACUP AND SAUCER ,24,7/20/2011 10:51,2.55,16133.0,United Kingdom
560634,23170,REGENCY TEA PLATE ROSES ,48,7/20/2011 10:51,1.45,16133.0,United Kingdom
560635,22350,ILLUSTRATED CAT BOWL ,6,7/20/2011 10:51,2.55,12521.0,Germany
560635,21534,DAIRY MAID LARGE MILK JUG,3,7/20/2011 10:51,4.95,12521.0,Germany
560635,21533,RETROSPOT LARGE MILK JUG,3,7/20/2011 10:51,4.95,12521.0,Germany
560635,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,7/20/2011 10:51,1.25,12521.0,Germany
560635,23213,STAR WREATH DECORATION WITH BELL,12,7/20/2011 10:51,1.25,12521.0,Germany
560635,23212,HEART WREATH DECORATION WITH BELL,12,7/20/2011 10:51,1.25,12521.0,Germany
560635,23092,LARGE ANTIQUE WHITE PHOTO FRAME,2,7/20/2011 10:51,7.9,12521.0,Germany
560635,23027,DRAWER KNOB VINTAGE GLASS HEXAGON,6,7/20/2011 10:51,2.08,12521.0,Germany
560635,23025,DRAWER KNOB VINTAGE GLASS BALL,6,7/20/2011 10:51,2.08,12521.0,Germany
560635,23028,DRAWER KNOB CRACKLE GLAZE BLUE,6,7/20/2011 10:51,1.65,12521.0,Germany
560635,23026,DRAWER KNOB VINTAGE GLASS STAR,6,7/20/2011 10:51,2.08,12521.0,Germany
560635,23029,DRAWER KNOB CRACKLE GLAZE GREEN,6,7/20/2011 10:51,1.65,12521.0,Germany
560635,23031,DRAWER KNOB CRACKLE GLAZE PINK,6,7/20/2011 10:51,1.65,12521.0,Germany
560635,23035,DRAWER KNOB CERAMIC IVORY,6,7/20/2011 10:51,1.45,12521.0,Germany
560635,23033,DRAWER KNOB CERAMIC RED,6,7/20/2011 10:51,1.45,12521.0,Germany
560635,23196,RETRO LEAVES MAGNETIC NOTEPAD,12,7/20/2011 10:51,1.45,12521.0,Germany
560635,23263,SET OF 3 WOODEN HEART DECORATIONS,12,7/20/2011 10:51,1.25,12521.0,Germany
560635,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,7/20/2011 10:51,1.45,12521.0,Germany
560635,23286,BLUE VINTAGE SPOT BEAKER,8,7/20/2011 10:51,0.85,12521.0,Germany
560635,23287,RED VINTAGE SPOT BEAKER,8,7/20/2011 10:51,0.85,12521.0,Germany
560635,20712,JUMBO BAG WOODLAND ANIMALS,10,7/20/2011 10:51,2.08,12521.0,Germany
560635,21931,JUMBO STORAGE BAG SUKI,10,7/20/2011 10:51,2.08,12521.0,Germany
560635,23199,JUMBO BAG APPLES,20,7/20/2011 10:51,2.08,12521.0,Germany
560635,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,7/20/2011 10:51,2.08,12521.0,Germany
560635,23201,JUMBO BAG ALPHABET,10,7/20/2011 10:51,2.08,12521.0,Germany
560635,23202,JUMBO BAG VINTAGE LEAF,10,7/20/2011 10:51,2.08,12521.0,Germany
560635,20719,WOODLAND CHARLOTTE BAG,10,7/20/2011 10:51,0.85,12521.0,Germany
560635,20749,ASSORTED COLOUR MINI CASES,2,7/20/2011 10:51,7.95,12521.0,Germany
560635,21668,RED STRIPE CERAMIC DRAWER KNOB,12,7/20/2011 10:51,1.25,12521.0,Germany
560635,20707,CRAZY DAISY HEART DECORATION,12,7/20/2011 10:51,1.25,12521.0,Germany
560635,22914,BLUE COAT RACK PARIS FASHION,3,7/20/2011 10:51,4.95,12521.0,Germany
560635,84050,PINK HEART SHAPE EGG FRYING PAN,6,7/20/2011 10:51,1.65,12521.0,Germany
560635,22897,OVEN MITT APPLES DESIGN,10,7/20/2011 10:51,1.45,12521.0,Germany
560635,22839,3 TIER CAKE TIN GREEN AND CREAM,1,7/20/2011 10:51,14.95,12521.0,Germany
560635,22134,MINI LADLE LOVE HEART RED ,12,7/20/2011 10:51,0.42,12521.0,Germany
560635,22196,SMALL HEART MEASURING SPOONS,12,7/20/2011 10:51,0.85,12521.0,Germany
560635,22349,DOG BOWL CHASING BALL DESIGN,6,7/20/2011 10:51,3.75,12521.0,Germany
560635,POST,POSTAGE,3,7/20/2011 10:51,18.0,12521.0,Germany
560640,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,24,7/20/2011 10:59,3.39,13854.0,United Kingdom
560640,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,16,7/20/2011 10:59,9.95,13854.0,United Kingdom
560640,23285,PINK VINTAGE SPOT BEAKER,8,7/20/2011 10:59,0.85,13854.0,United Kingdom
560640,23245,SET OF 3 REGENCY CAKE TINS,16,7/20/2011 10:59,4.15,13854.0,United Kingdom
